ProductID,ProductName,Price,CategoryID,Class,ModifyDate,Resistant,IsAllergic,VitalityDays
51,"WINE - CROZES HERMITAGE E.",81.01,11,MEDIUM,2017-05-16,UNKNOWN,UNKNOWN,0
52,"TURNIP - WHITE, ORGANIC",55.61,1,LOW,2017-06-27,DURABLE,FALSE,0
53,CASSIS,92.63,8,MEDIUM,2018-02-16,WEAK,TRUE,0
54,"LINERS - BANANA, PAPER",53.56,9,MEDIUM,2017-06-23,WEAK,TRUE,0
55,"CINNAMON BUNS STICKY",6.62,3,HIGH,2018-03-05,UNKNOWN,FALSE,85
56,"CHIPS POTATO SALT VINEGAR 43G",46.40,9,LOW,2017-10-10,WEAK,FALSE,0
57,"SAUSAGE - BREAKFAST",12.21,3,LOW,2017-11-03,UNKNOWN,TRUE,103
58,"DC HIKIAGE HIRA HUBA",20.10,7,LOW,2017-10-24,DURABLE,UNKNOWN,91
59,"PASTRY - BUTTERSCOTCH BAKED",73.54,10,HIGH,2017-04-08,UNKNOWN,FALSE,0
60,"PEPPER - PAPRIKA, HUNGARIAN",31.69,2,MEDIUM,2017-09-29,WEAK,UNKNOWN,0
61,SARDINES,62.55,8,LOW,2017-12-03,DURABLE,FALSE,90
62,"PEARS - BOSC",19.52,1,MEDIUM,2017-09-09,UNKNOWN,UNKNOWN,13
63,"CAKE - MINI CHEESECAKE",56.27,9,LOW,2017-08-18,WEAK,UNKNOWN,0
64,"VINEGAR - SHERRY",16.52,6,LOW,2017-08-05,UNKNOWN,TRUE,94
65,"BRANDY - BAR",21.11,3,HIGH,2017-04-14,WEAK,FALSE,0
66,"PIE FILLING - CHERRY",9.88,7,MEDIUM,2018-05-06,WEAK,FALSE,0
67,"WINE - SOGRAPE MATEUS ROSE",3.78,5,LOW,2017-09-30,UNKNOWN,TRUE,108
68,"BEETS - CANDY CANE, ORGANIC",84.88,6,HIGH,2017-09-04,DURABLE,FALSE,72
69,"RASPBERRIES - FRESH",87.61,1,LOW,2017-10-04,UNKNOWN,TRUE,0
70,"SQUID - TUBES / TENTICLES 10/20",63.18,4,LOW,2017-05-08,WEAK,TRUE,45
71,"CHEESE - WINE",74.41,6,LOW,2018-04-04,DURABLE,UNKNOWN,0
72,"BAR - GRANOLA TRAIL MIX FRUIT NUT",62.26,4,HIGH,2017-10-13,DURABLE,FALSE,0
73,"APPETIZER - SAUSAGE ROLLS",48.19,11,LOW,2017-05-17,WEAK,TRUE,0
74,"CARBONATED WATER - CHERRY",13.62,7,MEDIUM,2018-04-26,DURABLE,FALSE,26
75,"CHEF HAT 20CM",4.18,8,HIGH,2017-09-14,DURABLE,UNKNOWN,116
76,"WINE - FUME BLANC FETZER",65.68,6,LOW,2017-02-08,DURABLE,FALSE,95
77,"POTATOES - IDAHO 100 COUNT",11.50,9,MEDIUM,2018-02-04,DURABLE,FALSE,0
78,"WINE - MAGNOTTA - BELPAESE",30.42,4,MEDIUM,2017-09-18,WEAK,UNKNOWN,0
79,"PASTA - PENNE, RIGATE, DRY",9.50,11,HIGH,2017-07-09,WEAK,FALSE,104
80,"WASABI POWDER",93.98,2,HIGH,2018-02-04,WEAK,TRUE,0
81,"COOKIES - ASSORTED",86.65,2,MEDIUM,2017-02-08,UNKNOWN,UNKNOWN,0
82,"JOLT COLA - ELECTRIC BLUE",56.81,5,LOW,2018-04-12,UNKNOWN,UNKNOWN,63
83,"LAMB - GROUND",50.88,1,HIGH,2017-10-22,DURABLE,UNKNOWN,116
84,"PEAS - FROZEN",90.30,1,MEDIUM,2017-08-25,DURABLE,FALSE,0
85,"CHEESE - PARMESAN CUBES",86.89,7,HIGH,2017-11-06,DURABLE,UNKNOWN,0
86,"LONGOS - GRILLED CHICKEN WITH",18.38,2,LOW,2018-02-28,WEAK,FALSE,0
87,"WINE - PINOT NOIR LATOUR",3.78,7,LOW,2017-04-02,UNKNOWN,FALSE,0
88,"REMY RED",92.00,2,LOW,2017-12-19,DURABLE,UNKNOWN,0
89,"BEEF - GROUND, EXTRA LEAN, FRESH",36.73,3,MEDIUM,2017-11-26,WEAK,TRUE,0
90,"FLAVOURING - ORANGE",69.32,9,HIGH,2018-04-30,UNKNOWN,TRUE,37
91,"GENERAL PURPOSE TRIGGER",57.04,6,HIGH,2017-05-02,DURABLE,TRUE,97
92,"WINE - RED, COLIO CABERNET",60.22,1,LOW,2017-09-13,WEAK,UNKNOWN,0
93,"BANDAGE - FEXIBLE 1X3",8.12,8,LOW,2017-06-20,DURABLE,FALSE,11
94,"V8 - BERRY BLEND",43.51,9,HIGH,2018-03-15,WEAK,UNKNOWN,108
95,"BEANS - KIDNEY WHITE",46.39,1,HIGH,2017-12-02,UNKNOWN,UNKNOWN,0
96,"CHEESE - BOCCONCINI",62.20,7,HIGH,2017-07-07,UNKNOWN,FALSE,0
97,"VEAL - INSIDE",24.78,4,MEDIUM,2017-08-14,WEAK,TRUE,0
98,"SHRIMP - 31/40",99.88,3,HIGH,2017-01-07,WEAK,FALSE,0
99,"MUSTARD - SEED",27.49,5,LOW,2017-12-27,WEAK,TRUE,0
100,"PORK - LOIN, BONE - IN",69.65,9,LOW,2018-03-27,DURABLE,UNKNOWN,7
101,"SOUP - CAMPBELLS, LENTIL",83.01,4,MEDIUM,2018-02-19,DURABLE,UNKNOWN,99
102,"ROSEMARY - PRIMERBA, PASTE",62.26,4,HIGH,2017-06-14,UNKNOWN,FALSE,0
103,"CREAM OF TARTAR",72.75,7,LOW,2017-02-22,UNKNOWN,UNKNOWN,0
104,"TIA MARIA",98.25,5,HIGH,2018-01-04,UNKNOWN,FALSE,0
105,"ECOLAB - MIKROKLENE 4/4 L",68.88,1,MEDIUM,2017-01-17,DURABLE,TRUE,0
106,"PICKEREL - FILLETS",18.75,7,HIGH,2017-12-11,WEAK,FALSE,19
107,"BREAD - FRENCH BAQUETTE",7.42,1,HIGH,2017-02-10,WEAK,FALSE,0
108,"PASTA - ORECCHIETTE",79.00,1,HIGH,2018-03-01,WEAK,TRUE,0
109,"MUFFIN - ZERO TRANSFAT",49.38,1,MEDIUM,2018-02-15,DURABLE,FALSE,0
110,"BLACK CURRANTS",40.94,9,HIGH,2018-01-26,DURABLE,UNKNOWN,48
111,"SCALLOPS 60/80 IQF",34.91,11,MEDIUM,2018-01-13,DURABLE,UNKNOWN,0
112,"BROWNING CARAMEL GLACE",81.79,10,HIGH,2017-02-15,WEAK,UNKNOWN,0
113,"OCEAN SPRAY - KIWI STRAWBERRY",10.60,7,LOW,2017-04-17,UNKNOWN,FALSE,106
114,"VEAL - OSSO BUCCO",79.56,8,HIGH,2017-07-11,WEAK,TRUE,93
115,"OCEAN SPRAY - RUBY RED",45.05,11,LOW,2017-08-22,WEAK,FALSE,0
116,"STEAM PAN - HALF SIZE DEEP",5.74,3,LOW,2017-12-31,WEAK,TRUE,104
117,"KETCHUP - TOMATO",68.64,11,HIGH,2018-03-27,WEAK,UNKNOWN,0
118,"GARBAG BAGS - BLACK",65.97,9,HIGH,2018-05-02,WEAK,UNKNOWN,0
119,"SOUP CAMPBELLS - ITALIAN WEDDING",29.64,11,MEDIUM,2018-02-06,UNKNOWN,FALSE,0
120,"WATER - SPRING WATER 500ML",2.73,2,MEDIUM,2017-06-23,DURABLE,UNKNOWN,94
121,"MUFFIN BATT - BLUEBERRY PASSION",6.10,11,LOW,2018-02-03,DURABLE,UNKNOWN,0
122,"TABLE CLOTH 62X114 WHITE",11.78,4,HIGH,2018-02-19,WEAK,FALSE,0
123,"OIL - SHORTENING - ALL - PURPOSE",48.15,4,LOW,2018-02-15,UNKNOWN,UNKNOWN,0
124,"MACAROONS - TWO BITE CHOC",18.29,4,LOW,2017-10-13,UNKNOWN,TRUE,81
125,"NUT - CHESTNUTS, WHOLE",6.14,9,LOW,2017-01-07,WEAK,FALSE,0
126,"CRACKERS - TRIO",14.19,6,LOW,2017-07-23,UNKNOWN,UNKNOWN,76
127,"ISLAND OASIS - MANGO DAIQUIRI",54.14,8,MEDIUM,2017-04-25,UNKNOWN,FALSE,34
128,"COFFEE - IRISH CREAM",4.68,2,MEDIUM,2017-07-12,DURABLE,UNKNOWN,71
129,"CHICKEN - SOUP BASE",67.23,7,HIGH,2017-05-26,DURABLE,TRUE,0
130,"BEEF WELLINGTON",41.98,2,LOW,2017-03-11,UNKNOWN,FALSE,0
131,"ANCHOVY PASTE - 56 G TUBE",40.90,3,MEDIUM,2017-11-03,DURABLE,FALSE,0
132,"BEER - BLUE",11.62,6,HIGH,2018-01-28,WEAK,FALSE,24
133,"BEEF - TOP SIRLOIN - AAA",2.93,11,LOW,2018-01-30,WEAK,UNKNOWN,0
134,"WINE - TOASTED HEAD",39.85,2,HIGH,2017-08-21,WEAK,TRUE,0
135,"WIBERG SUPER CURE",10.96,10,LOW,2018-04-25,DURABLE,FALSE,61
136,"VOL AU VENTS",24.39,10,MEDIUM,2018-01-03,WEAK,TRUE,0
137,"WINE - WHITE, SCHRODER AND SCHYL",84.06,10,LOW,2018-02-19,DURABLE,FALSE,0
138,"RUM - COCONUT, MALIBU",52.64,7,LOW,2018-02-24,DURABLE,UNKNOWN,0
139,"CHICKEN - WIENERS",21.42,1,HIGH,2017-08-09,WEAK,FALSE,0
140,"OREGANO - DRY, RUBBED",68.13,11,HIGH,2018-04-04,DURABLE,UNKNOWN,16
141,"TEA - HERBAL SWEET DREAMS",10.96,1,LOW,2018-01-19,DURABLE,TRUE,37
142,"PORK - BACON, DOUBLE SMOKED",24.78,6,MEDIUM,2017-06-10,WEAK,TRUE,0
143,WATERCRESS,42.62,1,MEDIUM,2018-03-13,UNKNOWN,TRUE,0
144,"PLACEMAT - SCALLOP, WHITE",95.79,5,MEDIUM,2018-03-09,DURABLE,FALSE,0
145,"WINE - CHARDONNAY SOUTH",34.41,9,LOW,2017-04-18,DURABLE,UNKNOWN,27
146,BANANAS,75.25,7,HIGH,2017-03-18,DURABLE,FALSE,0
147,"CHEESE - MOZZARELLA",49.62,5,HIGH,2017-05-29,UNKNOWN,FALSE,0
148,"BEER - SLEEMANS CREAM ALE",28.56,11,MEDIUM,2018-04-19,DURABLE,TRUE,91
149,"ZUCCHINI - YELLOW",98.46,10,HIGH,2017-07-25,WEAK,TRUE,0
150,"LANGERS - RUBY RED GRAPFRUIT",40.66,9,HIGH,2018-04-10,DURABLE,FALSE,0
151,"MUSHROOMS - BLACK, DRIED",93.56,7,HIGH,2017-08-19,WEAK,TRUE,0
152,"LENTILS - RED, DRY",58.81,7,MEDIUM,2017-08-22,UNKNOWN,UNKNOWN,26
153,"ARIZONA - GREEN TEA",70.24,4,LOW,2017-04-10,WEAK,FALSE,0
154,"ICE CREAM BAR - DRUMSTICK",24.76,4,MEDIUM,2017-07-06,WEAK,TRUE,0
155,"PEAS - PIGEON, DRY",63.55,9,HIGH,2017-02-21,WEAK,FALSE,0
156,"SPROUTS - ALFALFA",71.23,1,HIGH,2018-05-09,DURABLE,FALSE,0
157,"JUICE - CRANBERRY, 341 ML",14.11,11,MEDIUM,2017-09-06,UNKNOWN,FALSE,19
158,"APRICOTS FRESH",54.46,4,HIGH,2017-09-18,UNKNOWN,FALSE,18
159,"EGGPLANT - ASIAN",92.11,7,MEDIUM,2017-12-29,DURABLE,TRUE,0
160,"BEEF GROUND MEDIUM",54.69,7,MEDIUM,2017-11-03,WEAK,TRUE,0
161,"LONGOS - CHICKEN WINGS",64.61,10,LOW,2017-08-18,WEAK,UNKNOWN,0
162,"SAUCE - DEMI GLACE",2.74,11,MEDIUM,2017-12-08,WEAK,TRUE,117
163,"TOMATOES TEAR DROP",11.77,6,LOW,2017-10-07,UNKNOWN,TRUE,116
164,LOQUAT,7.40,11,MEDIUM,2017-12-07,UNKNOWN,FALSE,0
165,"BREAD CRUMBS - JAPANESE STYLE",0.04,6,LOW,2017-03-26,UNKNOWN,FALSE,0
166,"TRAY - 16IN RND BLK",23.28,5,HIGH,2018-04-25,DURABLE,FALSE,0
167,"KNIFE PLASTIC - WHITE",78.86,11,MEDIUM,2017-05-26,DURABLE,FALSE,0
168,"MILK - 2%",70.74,6,MEDIUM,2018-01-03,UNKNOWN,TRUE,29
169,"WATER - AQUAFINA VITAMIN",68.60,10,MEDIUM,2017-07-26,UNKNOWN,FALSE,0
170,"INITATION CRAB MEAT",20.66,1,MEDIUM,2017-12-26,DURABLE,FALSE,0
171,"GLOVES - GOLDTOUCH DISPOSABLE",21.68,5,HIGH,2018-03-21,DURABLE,FALSE,0
172,"SHERRY - DRY",16.00,5,HIGH,2017-01-31,DURABLE,UNKNOWN,72
173,"ROSEMARY - DRY",44.54,8,LOW,2017-09-24,DURABLE,FALSE,0
174,"GUINEA FOWL",61.50,11,HIGH,2018-03-13,DURABLE,TRUE,0
175,"OIL - SAFFLOWER",91.77,1,LOW,2017-10-12,WEAK,TRUE,52
176,"SMIRNOFF GREEN APPLE TWIST",81.32,6,HIGH,2017-08-27,DURABLE,TRUE,90
177,"COCONUT - SHREDDED, SWEET",69.17,3,MEDIUM,2018-04-18,WEAK,TRUE,0
178,PERNOD,52.36,10,HIGH,2018-04-17,WEAK,TRUE,0
179,"YOGHURT TUBES",83.88,6,LOW,2017-06-28,DURABLE,UNKNOWN,26
180,"CHOCOLATE - DARK",30.89,3,LOW,2018-03-01,DURABLE,TRUE,27
181,"PHYLLO DOUGH",64.57,1,MEDIUM,2017-02-24,UNKNOWN,FALSE,0
182,CAMPARI,25.59,9,LOW,2017-05-16,WEAK,FALSE,54
183,"SPICE - PEPPERCORN MELANGE",6.22,4,HIGH,2018-04-27,WEAK,FALSE,0
184,"HERSEY SHAKES",26.58,9,LOW,2017-06-24,WEAK,TRUE,0
185,"FOAM DINNER PLATE",48.42,6,LOW,2017-11-30,WEAK,UNKNOWN,40
186,"MUFFIN MIX - BLUEBERRY",82.08,8,LOW,2017-03-15,WEAK,FALSE,0
187,"PEPPER - BLACK, WHOLE",41.38,3,MEDIUM,2017-10-20,DURABLE,FALSE,31
188,"CUP - TRANSLUCENT 7 OZ CLEAR",78.18,8,HIGH,2017-07-27,DURABLE,FALSE,91
189,"BREAD - ROLL, SOFT WHITE ROUND",76.30,5,HIGH,2017-07-01,UNKNOWN,FALSE,16
190,"CAKE - CAKE SHEET MACAROON",39.74,9,MEDIUM,2018-04-25,DURABLE,TRUE,93
191,"HICKORY SMOKE, LIQUID",10.28,10,HIGH,2017-04-30,WEAK,UNKNOWN,0
192,"WINE - MAGNOTTA, MERLOT SR VQA",29.59,7,MEDIUM,2017-06-03,DURABLE,UNKNOWN,0
193,"VEAL - INSIDE, CHOICE",60.53,11,MEDIUM,2017-02-26,UNKNOWN,FALSE,19
194,"LETTUCE - FRISEE",66.74,6,MEDIUM,2018-02-12,UNKNOWN,FALSE,0
195,"BEETS - MINI GOLDEN",3.52,2,MEDIUM,2017-08-18,DURABLE,UNKNOWN,70
196,"LONGOS - GRILLED SALMON WITH BBQ",8.23,1,HIGH,2017-02-11,UNKNOWN,UNKNOWN,0
197,"MUSSELS - CULTIVATED",13.01,1,MEDIUM,2018-01-11,UNKNOWN,TRUE,0
198,"LIME CORDIAL - ROSES",35.22,1,LOW,2017-04-06,DURABLE,FALSE,60
199,"PORK - HOCK AND FEET ATTACHED",95.74,10,MEDIUM,2017-12-15,WEAK,UNKNOWN,105
200,"GARLIC - PEELED",11.13,5,MEDIUM,2017-05-02,WEAK,FALSE,0
201,GRENADINE,96.39,8,MEDIUM,2018-03-01,WEAK,TRUE,117
202,"BAY LEAF",78.88,11,LOW,2017-10-02,WEAK,TRUE,0
203,"CHICKEN - LEG, BONELESS",59.96,1,HIGH,2017-09-25,WEAK,UNKNOWN,29
204,"SCALLOP - ST. JAQUES",77.81,9,MEDIUM,2017-12-06,DURABLE,TRUE,5
205,"TURKEY - WHOLE, FRESH",18.98,5,HIGH,2017-01-21,WEAK,FALSE,32
206,"COCOA BUTTER",77.56,3,LOW,2017-07-19,UNKNOWN,UNKNOWN,0
207,"COFFEE - HAZELNUT CREAM",14.27,10,MEDIUM,2018-04-06,UNKNOWN,TRUE,116
208,"MUSHROOM - TRUMPET, DRY",8.73,5,MEDIUM,2017-06-06,WEAK,FALSE,15
209,"SUGAR - FINE",32.99,3,LOW,2018-01-31,UNKNOWN,UNKNOWN,0
210,"CHEESE - BRIE,DANISH",82.24,3,HIGH,2017-11-03,UNKNOWN,UNKNOWN,0
211,"WINE - PROSECCO VALDOBIADDENE",2.06,9,LOW,2017-01-22,UNKNOWN,TRUE,76
212,"CURRY PASTE - MADRAS",61.75,2,HIGH,2017-09-28,WEAK,TRUE,97
213,"PATE - COGNAC",70.59,10,HIGH,2017-03-23,WEAK,TRUE,39
214,"FRENCH PASTRY - MINI CHOCOLATE",61.21,5,LOW,2018-03-09,DURABLE,UNKNOWN,0
215,"VEAL - BRISKET, PROVIMI,BNLS",90.12,7,HIGH,2017-09-10,WEAK,UNKNOWN,92
216,"SCALLOPS - 10/20",39.03,1,LOW,2017-04-04,UNKNOWN,UNKNOWN,0
217,"BREAD - MULTIGRAIN",96.52,8,MEDIUM,2017-12-21,DURABLE,TRUE,0
218,BARRAMUNDI,85.19,8,HIGH,2017-04-15,WEAK,TRUE,31
219,"ASSORTED DESSERTS",58.98,5,LOW,2017-01-08,DURABLE,FALSE,0
220,"MELDEA GREEN TEA LIQUOR",17.96,10,LOW,2017-01-12,WEAK,FALSE,0
221,"BREAD CRUMBS - PANKO",81.90,3,LOW,2017-07-06,UNKNOWN,FALSE,0
222,"SOLE - DOVER, WHOLE, FRESH",0.68,3,HIGH,2018-03-08,UNKNOWN,FALSE,0
223,"PAIL WITH METAL HANDLE 16L WHITE",94.44,1,MEDIUM,2017-07-06,UNKNOWN,UNKNOWN,0
224,"FLOUR - PASTRY",28.86,1,HIGH,2017-08-09,WEAK,FALSE,0
225,"WINE - CHARDDONNAY ERRAZURIZ",10.37,3,MEDIUM,2017-08-28,WEAK,UNKNOWN,0
226,"CHESTNUTS - WHOLE,CANNED",92.09,10,MEDIUM,2017-10-18,DURABLE,TRUE,0
227,"CHEESE - TALEGGIO D.O.P.",55.47,5,LOW,2018-04-14,WEAK,FALSE,0
228,"SAUCE - HOLLANDAISE",77.81,3,HIGH,2017-12-19,DURABLE,UNKNOWN,93
229,"BREAD - HOT DOG BUNS",57.98,9,MEDIUM,2017-07-27,WEAK,FALSE,66
230,"WINE - CAHORS AC 2000, CLOS",83.54,11,MEDIUM,2017-09-01,WEAK,FALSE,75
231,"CRUSH - CREAM SODA",68.31,5,MEDIUM,2017-12-24,UNKNOWN,TRUE,0
232,"QUICHE ASSORTED",33.95,3,MEDIUM,2018-01-12,WEAK,FALSE,0
233,"DUCK - BREAST",56.62,11,LOW,2017-05-04,DURABLE,TRUE,0
234,"TOFU - FIRM",72.75,1,MEDIUM,2017-02-27,WEAK,UNKNOWN,0
235,"BREAD - ENGLISH MUFFIN",34.51,6,HIGH,2018-05-09,DURABLE,FALSE,0
236,"TOMATO - TRICOLOR CHERRY",85.69,1,LOW,2017-10-02,UNKNOWN,TRUE,113
237,"MAYONNAISE - INDIVIDUAL PKG",65.63,8,LOW,2017-12-29,WEAK,FALSE,94
238,GARLIC,28.41,6,MEDIUM,2017-05-22,DURABLE,FALSE,0
239,"SOUP - CAMPBELLS, CREAM OF",7.60,5,MEDIUM,2017-06-03,WEAK,TRUE,0
240,"WINE - CHABLIS 2003 CHAMPS",70.86,4,LOW,2017-05-14,WEAK,FALSE,0
241,"CHEESE - CHEDDARSLICED",67.82,9,MEDIUM,2017-04-17,UNKNOWN,UNKNOWN,0
242,"THERMOMETER DIGITAL",32.65,9,LOW,2017-05-17,WEAK,FALSE,11
243,"SUN - DRIED TOMATOES",45.19,6,MEDIUM,2017-11-02,WEAK,FALSE,104
244,"BEEF - RIB EYE AAA",94.07,2,LOW,2018-01-04,UNKNOWN,TRUE,0
245,"GROUPER - FRESH",37.68,1,MEDIUM,2018-04-04,WEAK,UNKNOWN,111
246,"ICE CREAM BAR - HAGEEN DAZ TO",48.54,9,LOW,2017-12-10,WEAK,FALSE,96
247,"JUICE - APPLE CIDER",59.00,9,HIGH,2017-03-14,WEAK,FALSE,58
248,"BEEF - INSIDE ROUND",99.32,7,LOW,2017-04-29,UNKNOWN,UNKNOWN,0
249,"COOKIE DOUGH - DOUBLE",76.62,10,MEDIUM,2017-06-05,WEAK,TRUE,0
250,"SOUP - CAMPBELLS, BEEF BARLEY",64.50,1,LOW,2017-05-17,DURABLE,FALSE,0
251,"ORANGES - NAVEL, 72",11.71,5,LOW,2017-07-01,WEAK,TRUE,7
252,"NANTUCKET - POMEGRANATE PEAR",27.82,4,MEDIUM,2017-09-28,WEAK,UNKNOWN,83
253,"WANTON WRAP",76.24,7,HIGH,2017-03-29,UNKNOWN,UNKNOWN,0
254,"SOUP - CANADIAN PEA, DRY MIX",77.78,1,LOW,2017-12-04,WEAK,TRUE,0
255,"KELLOGS ALL BRAN BARS",29.23,3,LOW,2018-03-05,WEAK,FALSE,0
256,"SOUP KNORR CHILI WITH BEANS",95.70,6,MEDIUM,2018-05-03,DURABLE,UNKNOWN,0
257,"PASTA - DETALINI, WHITE, FRESH",84.44,11,HIGH,2017-03-30,DURABLE,UNKNOWN,0
258,"TEA - ENGLISH BREAKFAST",31.09,1,LOW,2017-02-16,WEAK,UNKNOWN,0
259,"VEAL - EYE OF ROUND",67.44,7,HIGH,2017-04-10,UNKNOWN,TRUE,71
260,"YOGURT - BLUEBERRY, 175 GR",26.89,7,LOW,2017-08-13,DURABLE,FALSE,31
261,"CHINESE FOODS - CHICKEN",22.09,9,HIGH,2017-08-14,DURABLE,TRUE,0
262,"BAGEL - PLAIN",36.46,7,MEDIUM,2017-04-19,DURABLE,UNKNOWN,41
263,"SOUPFOAMCONT12OZ 112CON",50.75,7,LOW,2018-03-20,WEAK,FALSE,0
264,"JUICE - V8 SPLASH",49.45,3,HIGH,2017-06-02,DURABLE,TRUE,0
265,"MUSHROOM - PORCINI, DRY",13.93,10,MEDIUM,2018-03-20,WEAK,UNKNOWN,7
266,"CLAM NECTAR",68.11,7,HIGH,2017-05-19,WEAK,UNKNOWN,0
267,"GRAPES - RED",5.13,2,MEDIUM,2017-05-28,UNKNOWN,TRUE,0
268,"VANILLA BEANS",97.84,9,LOW,2017-01-25,DURABLE,FALSE,0
269,"WINE - BLUE NUN QUALITATSWEIN",26.71,11,MEDIUM,2018-03-10,DURABLE,TRUE,0
270,"CHEESE CLOTH NO 100",4.42,6,MEDIUM,2018-04-17,DURABLE,UNKNOWN,101
271,"BANANA - LEAVES",73.40,5,HIGH,2017-08-13,UNKNOWN,TRUE,0
