ProductName,CategoryName
LAMBCASING,POULTRY
"THYME - LEMON, FRESH",POULTRY
"PECAN RAISIN - TARTS",MEAT
"BACARDI BREEZER - TROPICAL",GRAIN
"PORK - KIDNEY",MEAT
"WINE - CROZES HERMITAGE E.",PRODUCE
"TURNIP - WHITE, ORGANIC",CONFECTIONS
CASSIS,GRAIN
"LINERS - BANANA, PAPER",POULTRY
"CINNAMON BUNS STICKY",CEREALS
"CHIPS POTATO SALT VINEGAR 43G",POULTRY
"SAUSAGE - BREAKFAST",CEREALS
"DC HIKIAGE HIRA HUBA",MEAT
"PASTRY - BUTTERSCOTCH BAKED",SNAILS
"PEPPER - PAPRIKA, HUNGARIAN","SHELL FISH"
SARDINES,GRAIN
"PEARS - BOSC",CONFECTIONS
"CAKE - MINI CHEESECAKE",POULTRY
"VINEGAR - SHERRY",SEAFOOD
"BRANDY - BAR",CEREALS
"PIE FILLING - CHERRY",MEAT
"WINE - SOGRAPE MATEUS ROSE",BEVERAGES
"BEETS - CANDY CANE, ORGANIC",SEAFOOD
"RASPBERRIES - FRESH",CONFECTIONS
"SQUID - TUBES / TENTICLES 10/20",DAIRY
"CHEESE - WINE",SEAFOOD
"BAR - GRANOLA TRAIL MIX FRUIT NUT",DAIRY
"APPETIZER - SAUSAGE ROLLS",PRODUCE
"CARBONATED WATER - CHERRY",MEAT
"CHEF HAT 20CM",GRAIN
"WINE - FUME BLANC FETZER",SEAFOOD
"POTATOES - IDAHO 100 COUNT",POULTRY
"WINE - MAGNOTTA - BELPAESE",DAIRY
"PASTA - PENNE, RIGATE, DRY",PRODUCE
"WASABI POWDER","SHELL FISH"
"COOKIES - ASSORTED","SHELL FISH"
"JOLT COLA - ELECTRIC BLUE",BEVERAGES
"LAMB - GROUND",CONFECTIONS
"PEAS - FROZEN",CONFECTIONS
"CHEESE - PARMESAN CUBES",MEAT
"LONGOS - GRILLED CHICKEN WITH","SHELL FISH"
"WINE - PINOT NOIR LATOUR",MEAT
"REMY RED","SHELL FISH"
"BEEF - GROUND, EXTRA LEAN, FRESH",CEREALS
"FLAVOURING - ORANGE",POULTRY
"GENERAL PURPOSE TRIGGER",SEAFOOD
"WINE - RED, COLIO CABERNET",CONFECTIONS
"BANDAGE - FEXIBLE 1X3",GRAIN
"V8 - BERRY BLEND",POULTRY
"BEANS - KIDNEY WHITE",CONFECTIONS
"CHEESE - BOCCONCINI",MEAT
"VEAL - INSIDE",DAIRY
"SHRIMP - 31/40",CEREALS
"MUSTARD - SEED",BEVERAGES
"PORK - LOIN, BONE - IN",POULTRY
"SOUP - CAMPBELLS, LENTIL",DAIRY
"ROSEMARY - PRIMERBA, PASTE",DAIRY
"CREAM OF TARTAR",MEAT
"TIA MARIA",BEVERAGES
"ECOLAB - MIKROKLENE 4/4 L",CONFECTIONS
"PICKEREL - FILLETS",MEAT
"BREAD - FRENCH BAQUETTE",CONFECTIONS
"PASTA - ORECCHIETTE",CONFECTIONS
"MUFFIN - ZERO TRANSFAT",CONFECTIONS
"BLACK CURRANTS",POULTRY
"SCALLOPS 60/80 IQF",PRODUCE
"BROWNING CARAMEL GLACE",SNAILS
"OCEAN SPRAY - KIWI STRAWBERRY",MEAT
"VEAL - OSSO BUCCO",GRAIN
"OCEAN SPRAY - RUBY RED",PRODUCE
"STEAM PAN - HALF SIZE DEEP",CEREALS
"KETCHUP - TOMATO",PRODUCE
"GARBAG BAGS - BLACK",POULTRY
"SOUP CAMPBELLS - ITALIAN WEDDING",PRODUCE
"WATER - SPRING WATER 500ML","SHELL FISH"
"MUFFIN BATT - BLUEBERRY PASSION",PRODUCE
"TABLE CLOTH 62X114 WHITE",DAIRY
"OIL - SHORTENING - ALL - PURPOSE",DAIRY
"MACAROONS - TWO BITE CHOC",DAIRY
"NUT - CHESTNUTS, WHOLE",POULTRY
"CRACKERS - TRIO",SEAFOOD
"ISLAND OASIS - MANGO DAIQUIRI",GRAIN
"COFFEE - IRISH CREAM","SHELL FISH"
"CHICKEN - SOUP BASE",MEAT
"BEEF WELLINGTON","SHELL FISH"
"ANCHOVY PASTE - 56 G TUBE",CEREALS
"BEER - BLUE",SEAFOOD
"BEEF - TOP SIRLOIN - AAA",PRODUCE
"WINE - TOASTED HEAD","SHELL FISH"
"WIBERG SUPER CURE",SNAILS
"VOL AU VENTS",SNAILS
"WINE - WHITE, SCHRODER AND SCHYL",SNAILS
"RUM - COCONUT, MALIBU",MEAT
"CHICKEN - WIENERS",CONFECTIONS
"OREGANO - DRY, RUBBED",PRODUCE
"TEA - HERBAL SWEET DREAMS",CONFECTIONS
"PORK - BACON, DOUBLE SMOKED",SEAFOOD
WATERCRESS,CONFECTIONS
"PLACEMAT - SCALLOP, WHITE",BEVERAGES
"WINE - CHARDONNAY SOUTH",POULTRY
BANANAS,MEAT
"CHEESE - MOZZARELLA",BEVERAGES
"BEER - SLEEMANS CREAM ALE",PRODUCE
"ZUCCHINI - YELLOW",SNAILS
"LANGERS - RUBY RED GRAPFRUIT",POULTRY
"MUSHROOMS - BLACK, DRIED",MEAT
"LENTILS - RED, DRY",MEAT
"ARIZONA - GREEN TEA",DAIRY
"ICE CREAM BAR - DRUMSTICK",DAIRY
"PEAS - PIGEON, DRY",POULTRY
"SPROUTS - ALFALFA",CONFECTIONS
"JUICE - CRANBERRY, 341 ML",PRODUCE
"APRICOTS FRESH",DAIRY
"EGGPLANT - ASIAN",MEAT
"BEEF GROUND MEDIUM",MEAT
"LONGOS - CHICKEN WINGS",SNAILS
"SAUCE - DEMI GLACE",PRODUCE
"TOMATOES TEAR DROP",SEAFOOD
LOQUAT,PRODUCE
"BREAD CRUMBS - JAPANESE STYLE",SEAFOOD
"TRAY - 16IN RND BLK",BEVERAGES
"KNIFE PLASTIC - WHITE",PRODUCE
"MILK - 2%",SEAFOOD
"WATER - AQUAFINA VITAMIN",SNAILS
"INITATION CRAB MEAT",CONFECTIONS
"GLOVES - GOLDTOUCH DISPOSABLE",BEVERAGES
"SHERRY - DRY",BEVERAGES
"ROSEMARY - DRY",GRAIN
"GUINEA FOWL",PRODUCE
"OIL - SAFFLOWER",CONFECTIONS
"SMIRNOFF GREEN APPLE TWIST",SEAFOOD
"COCONUT - SHREDDED, SWEET",CEREALS
PERNOD,SNAILS
"YOGHURT TUBES",SEAFOOD
"CHOCOLATE - DARK",CEREALS
"PHYLLO DOUGH",CONFECTIONS
CAMPARI,POULTRY
"SPICE - PEPPERCORN MELANGE",DAIRY
"HERSEY SHAKES",POULTRY
"FOAM DINNER PLATE",SEAFOOD
"MUFFIN MIX - BLUEBERRY",GRAIN
"PEPPER - BLACK, WHOLE",CEREALS
"CUP - TRANSLUCENT 7 OZ CLEAR",GRAIN
"BREAD - ROLL, SOFT WHITE ROUND",BEVERAGES
"CAKE - CAKE SHEET MACAROON",POULTRY
"HICKORY SMOKE, LIQUID",SNAILS
"WINE - MAGNOTTA, MERLOT SR VQA",MEAT
"VEAL - INSIDE, CHOICE",PRODUCE
"LETTUCE - FRISEE",SEAFOOD
"BEETS - MINI GOLDEN","SHELL FISH"
"LONGOS - GRILLED SALMON WITH BBQ",CONFECTIONS
"MUSSELS - CULTIVATED",CONFECTIONS
"LIME CORDIAL - ROSES",CONFECTIONS
"PORK - HOCK AND FEET ATTACHED",SNAILS
"GARLIC - PEELED",BEVERAGES
GRENADINE,GRAIN
"BAY LEAF",PRODUCE
"CHICKEN - LEG, BONELESS",CONFECTIONS
"SCALLOP - ST. JAQUES",POULTRY
"TURKEY - WHOLE, FRESH",BEVERAGES
"COCOA BUTTER",CEREALS
"COFFEE - HAZELNUT CREAM",SNAILS
"MUSHROOM - TRUMPET, DRY",BEVERAGES
"SUGAR - FINE",CEREALS
"CHEESE - BRIE,DANISH",CEREALS
"WINE - PROSECCO VALDOBIADDENE",POULTRY
"CURRY PASTE - MADRAS","SHELL FISH"
"PATE - COGNAC",SNAILS
"FRENCH PASTRY - MINI CHOCOLATE",BEVERAGES
"VEAL - BRISKET, PROVIMI,BNLS",MEAT
"SCALLOPS - 10/20",CONFECTIONS
"BREAD - MULTIGRAIN",GRAIN
BARRAMUNDI,GRAIN
"ASSORTED DESSERTS",BEVERAGES
"MELDEA GREEN TEA LIQUOR",SNAILS
"BREAD CRUMBS - PANKO",CEREALS
"SOLE - DOVER, WHOLE, FRESH",CEREALS
"PAIL WITH METAL HANDLE 16L WHITE",CONFECTIONS
"FLOUR - PASTRY",CONFECTIONS
"WINE - CHARDDONNAY ERRAZURIZ",CEREALS
"CHESTNUTS - WHOLE,CANNED",SNAILS
"CHEESE - TALEGGIO D.O.P.",BEVERAGES
"SAUCE - HOLLANDAISE",CEREALS
"BREAD - HOT DOG BUNS",POULTRY
"WINE - CAHORS AC 2000, CLOS",PRODUCE
"CRUSH - CREAM SODA",BEVERAGES
"QUICHE ASSORTED",CEREALS
"DUCK - BREAST",PRODUCE
"TOFU - FIRM",CONFECTIONS
"BREAD - ENGLISH MUFFIN",SEAFOOD
"TOMATO - TRICOLOR CHERRY",CONFECTIONS
"MAYONNAISE - INDIVIDUAL PKG",GRAIN
GARLIC,SEAFOOD
"SOUP - CAMPBELLS, CREAM OF",BEVERAGES
"WINE - CHABLIS 2003 CHAMPS",DAIRY
"CHEESE - CHEDDARSLICED",POULTRY
"THERMOMETER DIGITAL",POULTRY
"SUN - DRIED TOMATOES",SEAFOOD
"BEEF - RIB EYE AAA","SHELL FISH"
"GROUPER - FRESH",CONFECTIONS
"ICE CREAM BAR - HAGEEN DAZ TO",POULTRY
"JUICE - APPLE CIDER",POULTRY
"BEEF - INSIDE ROUND",MEAT
"COOKIE DOUGH - DOUBLE",SNAILS
"SOUP - CAMPBELLS, BEEF BARLEY",CONFECTIONS
"ORANGES - NAVEL, 72",BEVERAGES
"NANTUCKET - POMEGRANATE PEAR",DAIRY
"WANTON WRAP",MEAT
"SOUP - CANADIAN PEA, DRY MIX",CONFECTIONS
"KELLOGS ALL BRAN BARS",CEREALS
"SOUP KNORR CHILI WITH BEANS",SEAFOOD
"PASTA - DETALINI, WHITE, FRESH",PRODUCE
"TEA - ENGLISH BREAKFAST",CONFECTIONS
"VEAL - EYE OF ROUND",MEAT
"YOGURT - BLUEBERRY, 175 GR",MEAT
"CHINESE FOODS - CHICKEN",POULTRY
"BAGEL - PLAIN",MEAT
"SOUPFOAMCONT12OZ 112CON",MEAT
"JUICE - V8 SPLASH",CEREALS
"MUSHROOM - PORCINI, DRY",SNAILS
"CLAM NECTAR",MEAT
"GRAPES - RED","SHELL FISH"
"VANILLA BEANS",POULTRY
"WINE - BLUE NUN QUALITATSWEIN",PRODUCE
"CHEESE CLOTH NO 100",SEAFOOD
"BANANA - LEAVES",BEVERAGES
"CHOCOLATE - SEMI SWEET, CALETS","SHELL FISH"
"BANDAGE - FLEXIBLE NEON",DAIRY
PAPAYAS,"SHELL FISH"
"CORN MEAL",CONFECTIONS
"SNAPPLE - ICED TEA PEACH",BEVERAGES
"SEA BASS - WHOLE",POULTRY
"APRICOTS - HALVES",PRODUCE
"BEEF - TEXAS STYLE BURGER",CONFECTIONS
"ONION POWDER",BEVERAGES
"BAR MIX - PINA COLADA, 355 ML","SHELL FISH"
"LEMONADE - NATURAL, 591 ML",SNAILS
"BREAD FIG AND ALMOND",DAIRY
"BEER - RICKARDS RED",POULTRY
"CHEESE - MIX",MEAT
"BEEF - PRIME RIB AAA","SHELL FISH"
"BREAD - ITALIAN ROLL WITH HERBS",MEAT
"ORANGE - CANNED, MANDARIN",PRODUCE
"SWORD PICK ASST",SNAILS
"SAUCE - ROSEE",CONFECTIONS
"CRAB - DUNGENESS, WHOLE","SHELL FISH"
"TURKEY - OVEN ROAST BREAST",GRAIN
"GARLIC - ELEPHANT",PRODUCE
"WINE - ALSACE GEWURZTRAMINER",SNAILS
"ICE - CLEAR, 300 LB FOR CARVING",MEAT
"WINE - VALPOLICELLA MASI",CEREALS
"HINGE W UNDERCUT",CEREALS
"POP SHOPPE CREAM SODA",DAIRY
"FUJI APPLES",DAIRY
"BEANS - KIDNEY, CANNED",BEVERAGES
"BEER - LABATT BLUE",GRAIN
"DOILIES - 5, PAPER",PRODUCE
"COD - BLACK WHOLE FILLET",MEAT
"BANANA TURNING",BEVERAGES
"PASTRY - CHEESE BAKED SCONES",GRAIN
"PEPPER - WHITE, GROUND",DAIRY
"FOAM CUP 6 OZ",CONFECTIONS
"TEA - DECAF LIPTON",SEAFOOD
"MUFFIN BATT - CHOC CHK",PRODUCE
"COFFEE - DARK ROAST",POULTRY
"WONTON WRAPPERS",POULTRY
"SALMON - SOCKEYE RAW",CONFECTIONS
"VEAL - SLAB BACON",PRODUCE
"SALMON STEAK - COHOE 8 OZ","SHELL FISH"
"WINE - GATO NEGRO CABERNET",SEAFOOD
"CHEESE - VICTOR ET BERTHOLD",PRODUCE
"WATER - GREEN TEA REFRESHER",CEREALS
"ECOLAB - SOLID FUSION",SNAILS
"TOWELS - PAPER / KRAFT",MEAT
"YOGURT - FRENCH VANILLA",POULTRY
"POTATOES - INSTANT, MASHED",CONFECTIONS
"ONIONS - VIDALIA","SHELL FISH"
"EXTRACT - LEMON",SNAILS
"APRICOTS - DRIED",SNAILS
"HALIBUT - FLETCHES",BEVERAGES
"APPETIZER - MUSHROOM TART",POULTRY
"APPETIZER - MINI EGG ROLL, SHRIMP","SHELL FISH"
"TUNA - SALAD PREMIX",SEAFOOD
"PORK - LOIN, CENTER CUT",SEAFOOD
"OLIVES - KALAMATA",SNAILS
"COOKIES CEREAL NUT",CEREALS
"BOUQ ALL ITALIAN - PRIMERBA",BEVERAGES
"CHEESE - COTTAGE CHEESE",MEAT
"ECOLAB - LIME - A - WAY 4/4 L",MEAT
"OIL - SHORTENING,LIQUD, FRY",POULTRY
"BROOM - CORN","SHELL FISH"
"BREAD - RYE",CEREALS
"CHEESE - CAMEMBERT",PRODUCE
"BEEF - STRIPLOIN AA","SHELL FISH"
"VEAL - SWEETBREAD",CEREALS
"BREAD - ROLL, CANADIAN DINNER",CONFECTIONS
MANGOES,CONFECTIONS
"OTOMEGUSA DASHI KONBU",CONFECTIONS
"SAUSAGE - LIVER","SHELL FISH"
"BREAD - CALABRESE BAGUETTE",DAIRY
"CHEESE - PARMESAN GRATED",CONFECTIONS
"PAIL FOR LID 1537",GRAIN
"PASTA - CHEESE / SPINACH BAULETTI",SNAILS
"PUREE - MOCHA",DAIRY
ISOMALT,GRAIN
"HOT CHOCOLATE - INDIVIDUAL",CONFECTIONS
"BEEF - TENDERLION, CENTER CUT",DAIRY
"MILK POWDER",GRAIN
"CRACKERS CHEEZ IT",MEAT
"OLIVES - STUFFED",BEVERAGES
"DC - FROZEN MOMJI",SEAFOOD
"TILAPIA - FILLETS","SHELL FISH"
"CHEESE - BOURSIN, GARLIC / HERBS",POULTRY
"RICE - LONG GRAIN",PRODUCE
"WINE - HARDYS BANKSIDE SHIRAZ",SNAILS
"COFFEE DECAF COLOMBIAN","SHELL FISH"
"CUMIN - WHOLE",MEAT
CORNFLAKES,PRODUCE
"CATTAIL HEARTS",CONFECTIONS
"WINE - RED, HARROW ESTATES, CAB",MEAT
"TAHINI PASTE",DAIRY
"BREAD - ITALIAN CORN MEAL POLY",BEVERAGES
"FLOUR - TEFF",DAIRY
RAMBUTAN,BEVERAGES
"MUFFIN - CARROT INDIVIDUAL WRAP",DAIRY
"CREME DE BANANE - MARIE",GRAIN
"WINE - TWO OCEANS CABERNET",CEREALS
"BEEF - MONTREAL SMOKED BRISKET",POULTRY
JAGERMEISTER,BEVERAGES
"SNAPPLE LEMON TEA",GRAIN
"PASTA - ANGEL HAIR",PRODUCE
"WINE - RED, COOKING",CONFECTIONS
"BREAD FOCCACIA WHOLE",POULTRY
"SMOKED PAPRIKA",MEAT
"WINE - WHITE CAB SAUV.ON",DAIRY
"VACCUM BAG 10X13",CONFECTIONS
"SOUP - CAMPBELLS BEAN MEDLEY",DAIRY
"CAKE - BOX WINDOW 10X10X2.5","SHELL FISH"
"FOND - NEUTRAL",SNAILS
"PORK - BACK, SHORT CUT, BONELESS",SNAILS
"SPROUTS - BABY PEA TENDRILS",SNAILS
"FONDANT - ICING",POULTRY
"TABLE CLOTH 120 ROUND WHITE",CONFECTIONS
POMELLO,CEREALS
"SEEDLINGS - MIX, ORGANIC",CEREALS
"BREAD - BISTRO WHITE",CONFECTIONS
"PUREE - PASSION FRUIT",BEVERAGES
"OLIVE - SPREAD TAPENADE",CONFECTIONS
"RUM - MOUNT GAY ECLIPES",CEREALS
"JUICE - LIME",CONFECTIONS
"TEA - JASMIN GREEN",SEAFOOD
"JUICE - HAPPY PLANET",CONFECTIONS
"WINE - WYNDHAM ESTATE BIN 777",PRODUCE
"BERRY BRULEE",SEAFOOD
"CARBONATED WATER - BLACKCHERRY",CONFECTIONS
"TART SHELLS - SWEET, 4",GRAIN
"BUTTER - UNSALTED",BEVERAGES
"LINERS - BAKING CUPS",BEVERAGES
"PANTS CUSTOM DRY CLEAN",CONFECTIONS
"PASTRY - RAISIN MUFFIN - MINI",PRODUCE
"SHRIMP - BABY, WARM WATER",POULTRY
"PEPSI - DIET, 355 ML",MEAT
BLUEBERRIES,DAIRY
"SKIRT - 29 FOOT",PRODUCE
"FENNGREEK SEED",SEAFOOD
"DURIAN FRUIT",SEAFOOD
"LETTUCE - CALIFORNIA MIX",BEVERAGES
"ICE CREAM BAR - OREO CONE",CEREALS
SAUERKRAUT,MEAT
"MUSSELS - FROZEN",SNAILS
"BAKING POWDER",SNAILS
"LAMB - PIECES, DICED",BEVERAGES
"TRUFFLE CUPS - BROWN","SHELL FISH"
"PORK - BELLY FRESH",CEREALS
"WHMIS - SPRAY BOTTLE TRIGGER",POULTRY
"SOUP V8 ROASTED RED PEPPER",SEAFOOD
"GARLIC - PRIMERBA, PASTE",BEVERAGES
"FISH - SCALLOPS, COLD SMOKED","SHELL FISH"
"VINEGAR - TARRAGON",CEREALS
"WINE - REDCHARD MERRITT",DAIRY
"SCALLOPS - LIVE IN SHELL",CEREALS
"WINE - VINELAND ESTATE SEMI - DRY",CEREALS
"WINE - RUFFINO CHIANTI",MEAT
"BEEF - SHORT LOIN",DAIRY
"MILK - 1%","SHELL FISH"
"MUFFIN CHOCOLATE INDIVIDUAL WRAP",SNAILS
"BEER - ORIGINAL ORGANIC LAGER","SHELL FISH"
"BEANS - KIDNEY, RED DRY",CEREALS
"COOKIE - DOUGH VARIETY",MEAT
"SALSIFY, ORGANIC",GRAIN
"TABLE CLOTH 81X81 WHITE",MEAT
"CHIPS POTATO ALL DRESSED - 43G",SNAILS
"JUICE - ORANGE","SHELL FISH"
"BEEF - CHUCK, BONELESS",PRODUCE
"PORK - INSIDE",CONFECTIONS
BLACKBERRIES,CEREALS
"WINE - EJ GALLO SIERRA VALLEY",SEAFOOD
"LETTUCE - SPRING MIX","SHELL FISH"
"CHEESE - CAMBOZOLA",GRAIN
"PASTRY - CHOCLATE BAKED",GRAIN
"SUNFLOWER SEED RAW",MEAT
"SALMON - ATLANTIC, SKIN ON",CEREALS
"GATORADE - XFACTOR BERRY",BEVERAGES
"NANTUKET PEACH ORANGE",DAIRY
"WINE - VIDAL ICEWINE MAGNOTTA",CEREALS
"SOUP - CAMPBELLS TOMATO RAVIOLI",CONFECTIONS
"NAPKIN WHITE - STARCHED",PRODUCE
